Stage,MinStat,MaxStat,MinTime,MaxTime
1,102,102,00:05:00,00:10:00
2,103,103,00:02:00,00:04:00
3,104,104,00:02:00,00:04:00
4,105,105,00:05:00,00:10:00
5,106,106,00:01:00,00:01:15
6,108,108,00:02:00,00:04:00
7,109,109,00:02:00,00:04:00
8,110,110,00:01:00,00:01:30
9,202,202,00:03:00,00:04:00
10,204,204,00:02:00,00:04:00
11,205,205,00:02:00,00:04:00
12,206,206,00:02:00,00:03:00
13,208,208,00:02:00,00:04:00
14,209,209,00:02:00,00:04:00
15,210,210,00:02:00,00:04:00
16,211,211,00:15:00,00:20:00
17,212,212,00:00:00,00:00:00
