Stage,MinStat,MaxStat,MinTime,MaxTime
1,102,104,00:00:00,00:20:00
2,107,107,00:15:00,00:16:00
3,113,115,00:05:00,00:06:00
4,112,112,00:05:00,00:06:00
5,204,205,00:30:00,00:31:00
6,113,115,00:05:00,00:06:00
7,112,112,00:05:00,00:06:00
8,210,213,00:15:00,00:16:00
9,113,115,00:05:00,00:06:00
10,112,112,00:05:00,00:06:00
11,202,202,00:15:00,00:16:00
12,113,115,00:05:00,00:06:00
13,112,112,00:05:00,00:06:00
14,206,206,00:15:00,00:16:00
15,113,115,00:05:00,00:06:00
16,112,112,00:05:00,00:06:00
17,201,201,00:01:00,00:02:00
18,102,104,00:00:00,00:10:00
19,105,109,00:15:00,00:16:00
20,102,104,00:00:00,00:20:00
21,101,101,00:00:00,00:00:00
