Stage,MinStat,MaxStat,MinTime,MaxTime
1,109,109,00:15:00,00:16:00
2,112,112,00:05:00,00:06:00
3,111,111,00:05:00,00:06:00
4,203,203,00:30:00,00:31:00
5,112,112,00:05:00,00:06:00
6,111,111,00:05:00,00:06:00
7,210,210,00:15:00,00:16:00
8,112,112,00:05:00,00:06:00
9,111,111,00:05:00,00:06:00
10,204,204,00:15:00,00:16:00
11,112,112,00:05:00,00:06:00
12,111,111,00:05:00,00:06:00
13,206,206,00:15:00,00:16:00
14,112,112,00:05:00,00:06:00
15,111,111,00:05:00,00:06:00
16,201,201,00:01:00,00:02:00
17,102,104,00:00:00,00:10:00
18,107,107,00:15:00,00:16:00
19,101,101,00:00:00,00:00:00
