Stage,MinStat,MaxStat,MinTime,MaxTime
1,118,118,00:15:00,00:20:00
2,209,214,00:02:00,00:10:00
3,208,213,00:02:00,00:10:00
4,116,116,00:30:00,00:40:00
5,209,214,00:02:00,00:10:00
6,208,213,00:02:00,00:10:00
7,115,115,00:15:00,00:30:00
8,209,214,00:02:00,00:10:00
9,208,213,00:02:00,00:10:00
10,113,114,00:15:00,00:30:00
11,209,214,00:02:00,00:10:00
12,208,213,00:02:00,00:10:00
13,211,211,00:15:00,00:30:00
14,209,214,00:02:00,00:10:00
15,208,213,00:02:00,00:10:00
16,119,119,00:05:00,00:10:00
17,217,218,00:00:00,00:10:00
18,216,216,00:15:00,00:30:00
19,219,219,00:00:00,00:00:00
