Stage,MinStat,MaxStat,MinTime,MaxTime
1,102,102,00:01:00,00:02:00
2,103,103,00:01:00,00:02:00
3,104,104,00:01:00,00:02:00
4,105,105,00:01:00,00:02:00
5,106,106,00:01:00,00:02:00
6,107,107,00:01:00,00:02:00
7,108,108,00:01:00,00:02:00
8,109,109,00:01:00,00:02:00
9,110,110,00:01:00,00:02:00
10,111,111,00:01:00,00:02:00
11,112,112,00:01:00,00:02:00
12,113,113,00:01:00,00:02:00
13,114,114,00:01:00,00:02:00
14,115,115,00:01:00,00:02:00
15,116,116,00:01:00,00:02:00
16,117,117,00:01:00,00:02:00
17,118,118,00:01:00,00:02:00
18,119,119,00:01:00,00:02:00
19,120,120,00:01:00,00:02:00
