Stage,MinStat,MaxStat,MinTime,MaxTime
1,306,306,00:00:00,00:30:00
2,307,307,00:03:00,00:05:00
3,308,308,00:05:00,00:10:00
4,309,309,00:00:20,00:01:00
5,310,310,00:00:20,00:01:00
6,311,311,00:02:00,00:05:00
7,312,312,00:00:20,00:01:00
8,313,313,00:00:20,00:01:00
9,314,314,00:01:00,00:05:00
10,315,315,00:00:20,00:01:00
11,316,316,00:00:20,00:01:00
12,317,317,00:00:20,00:02:00
13,318,318,00:00:20,00:01:00
14,319,319,00:00:20,00:01:00
15,320,320,00:00:20,00:01:00
16,321,321,00:01:00,00:05:00
17,322,322,00:00:20,00:01:00
18,323,323,00:00:20,00:01:00
19,324,324,00:00:20,00:01:00
20,325,325,00:00:20,00:01:00
21,424,424,00:00:20,00:01:00
22,423,423,00:00:20,00:01:00
23,420,422,00:20:00,00:30:00
24,417,417,00:00:20,00:01:00
25,416,416,00:00:20,00:01:00
26,415,415,00:00:20,00:01:00
27,414,414,00:00:10,00:01:00
28,413,413,00:00:20,00:01:00
29,410,412,00:20:00,00:20:00
30,409,409,00:00:20,00:01:00
31,408,408,00:00:20,00:01:00
32,407,407,00:00:20,00:01:00
33,403,403,00:00:00,00:00:00
