Stage,MinStat,MaxStat,MinTime,MaxTime
1,102,102,00:00:00,00:30:00
2,105,105,00:15:00,00:16:00
3,110,110,00:00:02,00:00:05
4,110,110,00:00:02,00:00:05
5,110,110,00:00:02,00:00:05
6,111,111,00:00:02,00:00:05
7,111,111,00:00:02,00:00:05
8,111,111,00:00:02,00:00:05
9,112,112,00:15:00,00:16:00
10,113,113,00:00:02,00:00:05
11,113,113,00:00:02,00:00:05
12,113,113,00:00:02,00:00:05
13,114,114,00:15:00,00:16:00
14,115,115,00:00:02,00:00:05
15,115,115,00:00:02,00:00:05
16,115,115,00:00:02,00:00:05
17,118,118,00:15:00,00:16:00
18,117,117,00:00:02,00:00:05
19,117,117,00:00:02,00:00:05
20,117,117,00:00:02,00:00:05
21,116,116,00:03:00,00:05:00
22,104,104,00:05:00,00:30:00
23,102,102,00:00:00,00:30:00
24,101,101,00:00:00,00:00:00
