Stage,MinStat,MaxStat,MinTime,MaxTime
1,101,101,00:01:00,00:02:00
2,102,102,00:01:00,00:02:00
3,103,103,00:01:00,00:02:00
4,104,104,00:01:00,00:02:00
5,105,105,00:01:00,00:02:00
6,106,106,00:01:00,00:02:00
7,107,107,00:01:00,00:02:00
8,108,108,00:01:00,00:02:00
9,109,109,00:01:00,00:02:00
10,110,110,00:01:00,00:02:00
11,111,111,00:01:00,00:02:00
12,112,112,00:01:00,00:02:00
13,201,201,00:01:00,00:02:00
14,202,202,00:01:00,00:02:00
15,203,203,00:01:00,00:02:00
16,204,204,00:01:00,00:02:00
17,205,205,00:01:00,00:02:00
18,206,206,00:01:00,00:02:00
19,207,207,00:01:00,00:02:00
20,208,208,00:01:00,00:02:00
21,209,209,00:01:00,00:02:00
22,210,210,00:01:00,00:02:00
23,211,211,00:01:00,00:02:00
24,212,212,00:01:00,00:02:00
