Stage,MinStat,MaxStat,MinTime,MaxTime
1,101,101,00:01:00,00:02:00
2,102,102,00:01:00,00:02:00
3,103,103,00:01:00,00:02:00
4,104,104,00:01:00,00:02:00
5,105,105,00:01:00,00:02:00
6,106,106,00:01:00,00:02:00
7,107,107,00:01:00,00:02:00
8,108,108,00:01:00,00:02:00
9,109,109,00:01:00,00:02:00
10,110,110,00:01:00,00:02:00
11,111,111,00:01:00,00:02:00
12,112,112,00:01:00,00:02:00
13,113,113,00:01:00,00:02:00
14,114,114,00:01:00,00:02:00
15,115,115,00:01:00,00:02:00
16,116,116,00:01:00,00:02:00
17,117,117,00:01:00,00:02:00
18,118,118,00:01:00,00:02:00
19,119,119,00:01:00,00:02:00
20,120,120,00:01:00,00:02:00
21,201,201,00:01:00,00:02:00
22,202,202,00:01:00,00:02:00
23,203,203,00:01:00,00:02:00
24,204,204,00:01:00,00:02:00
25,205,205,00:01:00,00:02:00
26,206,206,00:01:00,00:02:00
27,207,207,00:01:00,00:02:00
28,208,208,00:01:00,00:02:00
29,209,209,00:01:00,00:02:00
30,210,210,00:01:00,00:02:00
31,211,211,00:01:00,00:02:00
32,212,212,00:01:00,00:02:00
33,213,213,00:01:00,00:02:00
34,214,214,00:01:00,00:02:00
35,215,215,00:01:00,00:02:00
36,216,216,00:01:00,00:02:00
37,217,217,00:01:00,00:02:00
38,218,218,00:01:00,00:02:00
39,219,219,00:01:00,00:02:00
40,220,220,00:01:00,00:02:00
41,301,301,00:01:00,00:02:00
42,302,302,00:01:00,00:02:00
43,303,303,00:01:00,00:02:00
44,304,304,00:01:00,00:02:00
45,305,305,00:01:00,00:02:00
46,306,306,00:01:00,00:02:00
47,307,307,00:01:00,00:02:00
48,308,308,00:01:00,00:02:00
49,309,309,00:01:00,00:02:00
50,310,310,00:01:00,00:02:00
51,311,311,00:01:00,00:02:00
52,312,312,00:01:00,00:02:00
53,313,313,00:01:00,00:02:00
54,314,314,00:01:00,00:02:00
55,315,315,00:01:00,00:02:00
56,316,316,00:01:00,00:02:00
57,317,317,00:01:00,00:02:00
58,318,318,00:01:00,00:02:00
59,319,319,00:01:00,00:02:00
60,320,320,00:01:00,00:02:00
61,401,401,00:01:00,00:02:00
62,402,402,00:01:00,00:02:00
63,403,403,00:01:00,00:02:00
64,404,404,00:01:00,00:02:00
65,405,405,00:01:00,00:02:00
66,406,406,00:01:00,00:02:00
67,407,407,00:01:00,00:02:00
68,408,408,00:01:00,00:02:00
69,409,409,00:01:00,00:02:00
70,410,410,00:01:00,00:02:00
71,411,411,00:01:00,00:02:00
72,412,412,00:01:00,00:02:00
73,413,413,00:01:00,00:02:00
74,414,414,00:01:00,00:02:00
75,415,415,00:01:00,00:02:00
76,416,416,00:01:00,00:02:00
77,417,417,00:01:00,00:02:00
78,418,418,00:01:00,00:02:00
79,419,419,00:01:00,00:02:00
80,420,420,00:01:00,00:02:00
